,weight,prod_distance,time_delivery
534,1.0,1467.0,5.0
535,37.0,2098.0,1.0
536,73.0,2098.0,14.0
537,82.0,2936.0,7.0
538,46.0,2231.0,5.0
539,64.0,1731.0,10.0
540,55.0,2028.0,7.0
541,46.0,1731.0,7.0
542,10.0,2163.0,6.0
543,37.0,1346.0,3.0
544,55.0,1734.0,2.0
545,82.0,1797.0,10.0
546,19.0,2135.0,7.0
547,28.0,2043.0,9.0
548,10.0,2105.0,8.0
549,1.0,2231.0,6.0
550,10.0,1772.0,14.0
551,10.0,1459.0,12.0
552,64.0,1797.0,5.0
553,19.0,2074.0,13.0
554,64.0,2796.0,6.0
555,55.0,1731.0,5.0
556,82.0,2471.0,11.0
557,46.0,1928.0,4.0
558,46.0,1335.0,7.0
559,1.0,2135.0,6.0
560,64.0,2796.0,2.0
561,28.0,1772.0,9.0
562,46.0,1237.0,4.0
563,10.0,2163.0,14.0
564,10.0,2488.0,2.0
565,19.0,1783.0,11.0
566,28.0,2631.0,3.0
567,19.0,1928.0,2.0
568,1.0,2471.0,6.0
569,82.0,2416.0,14.0
570,64.0,2488.0,10.0
571,64.0,2488.0,2.0
572,28.0,2471.0,6.0
573,37.0,2501.0,12.0
574,73.0,1772.0,9.0
575,10.0,1237.0,6.0
576,55.0,1335.0,2.0
577,19.0,1284.0,1.0
578,10.0,2700.0,6.0
579,46.0,1346.0,3.0
580,82.0,2416.0,10.0
581,64.0,1161.0,13.0
582,19.0,1731.0,1.0
583,55.0,2416.0,9.0
584,64.0,1783.0,5.0
585,64.0,1467.0,7.0
586,64.0,2796.0,10.0
587,28.0,1567.0,1.0
588,64.0,2043.0,6.0
589,55.0,2476.0,1.0
590,46.0,1928.0,14.0
591,64.0,2471.0,10.0
592,28.0,1459.0,13.0
593,55.0,2796.0,9.0
594,1.0,2936.0,3.0
595,28.0,2416.0,12.0
596,73.0,1772.0,10.0
597,82.0,1731.0,5.0
598,73.0,1335.0,6.0
599,19.0,1335.0,9.0
600,1.0,2416.0,12.0
601,82.0,1237.0,8.0
602,64.0,2135.0,1.0
603,82.0,2488.0,7.0
604,19.0,1161.0,10.0
605,28.0,2028.0,1.0
606,55.0,2416.0,12.0
607,1.0,2118.0,11.0
608,28.0,2074.0,4.0
609,82.0,2501.0,7.0
610,55.0,2476.0,7.0
611,82.0,2488.0,2.0
612,28.0,2231.0,9.0
613,73.0,1928.0,3.0
614,10.0,2043.0,14.0
615,1.0,1731.0,4.0
616,28.0,1731.0,14.0
617,64.0,2680.0,9.0
618,73.0,2043.0,7.0
619,19.0,1346.0,5.0
620,10.0,2416.0,7.0
621,1.0,2118.0,2.0
622,10.0,2936.0,6.0
623,28.0,2700.0,3.0
624,55.0,2913.0,3.0
625,10.0,1797.0,4.0
626,73.0,2631.0,3.0
627,82.0,1459.0,4.0
628,55.0,1459.0,1.0
629,28.0,2501.0,1.0
630,10.0,2631.0,8.0
631,10.0,2680.0,2.0
632,55.0,1237.0,11.0
633,46.0,2471.0,14.0
634,19.0,2631.0,11.0
635,37.0,2074.0,13.0
636,46.0,1459.0,2.0
637,1.0,1797.0,14.0
638,73.0,1804.0,10.0
639,46.0,2043.0,7.0
640,73.0,2488.0,14.0
641,28.0,2796.0,9.0
642,64.0,1346.0,1.0
643,64.0,1284.0,9.0
644,10.0,1783.0,1.0
645,28.0,2163.0,12.0
646,28.0,2028.0,13.0
647,19.0,1459.0,3.0
648,1.0,1928.0,10.0
649,1.0,1459.0,1.0
650,64.0,2028.0,5.0
651,64.0,2471.0,13.0
652,19.0,2936.0,10.0
653,1.0,1734.0,14.0
654,46.0,2163.0,2.0
655,73.0,1731.0,14.0
656,46.0,1783.0,13.0
657,1.0,2501.0,6.0
658,37.0,1237.0,4.0
659,1.0,2476.0,11.0
660,10.0,2028.0,2.0
661,55.0,2028.0,13.0
662,28.0,1783.0,1.0
663,82.0,1783.0,14.0
664,28.0,2105.0,13.0
665,82.0,2028.0,9.0
666,1.0,1731.0,2.0
667,64.0,2074.0,7.0
668,1.0,1161.0,13.0
669,10.0,2043.0,10.0
670,64.0,2700.0,4.0
671,82.0,1797.0,4.0
672,10.0,1567.0,12.0
673,46.0,2118.0,2.0
674,37.0,1928.0,12.0
675,55.0,1772.0,6.0
676,10.0,2501.0,9.0
677,46.0,2488.0,12.0
678,55.0,2476.0,14.0
679,19.0,2488.0,8.0
680,64.0,1346.0,3.0
681,55.0,2936.0,9.0
682,82.0,2028.0,10.0
683,73.0,2074.0,9.0
684,37.0,2135.0,4.0
685,64.0,2163.0,11.0
686,55.0,2471.0,1.0
687,73.0,1731.0,10.0
688,73.0,1804.0,3.0
689,28.0,2118.0,13.0
690,10.0,2118.0,1.0
691,19.0,2416.0,6.0
692,73.0,2135.0,3.0
693,1.0,2118.0,3.0
694,1.0,1797.0,3.0
695,28.0,2074.0,13.0
696,37.0,1346.0,4.0
697,10.0,1734.0,5.0
698,82.0,1346.0,4.0
699,82.0,2631.0,7.0
700,64.0,2501.0,3.0
701,46.0,1161.0,4.0
702,28.0,2135.0,6.0
703,73.0,2796.0,12.0
704,73.0,2936.0,13.0
705,10.0,1567.0,3.0
706,19.0,2118.0,5.0
707,64.0,2416.0,10.0
708,37.0,1734.0,7.0
709,10.0,1731.0,7.0
710,46.0,1346.0,14.0
711,55.0,2118.0,4.0
712,10.0,2476.0,7.0
713,46.0,1772.0,14.0
714,55.0,2476.0,8.0
715,64.0,2913.0,7.0
716,82.0,2118.0,13.0
717,64.0,1928.0,11.0
718,37.0,1346.0,12.0
719,28.0,1567.0,4.0
720,64.0,2936.0,11.0
721,46.0,1797.0,12.0
722,82.0,2631.0,2.0
723,82.0,2163.0,2.0
724,46.0,1467.0,8.0
725,46.0,1284.0,11.0
726,37.0,2488.0,6.0
727,28.0,2936.0,4.0
728,55.0,2471.0,8.0
729,10.0,1335.0,9.0
730,1.0,1467.0,3.0
731,28.0,1734.0,5.0
732,73.0,1731.0,12.0
733,37.0,2416.0,1.0
734,37.0,1161.0,8.0
735,10.0,1467.0,2.0
736,46.0,2501.0,5.0
737,37.0,2135.0,14.0
738,28.0,1797.0,8.0
739,64.0,2488.0,12.0
740,19.0,1161.0,8.0
741,37.0,2163.0,9.0
742,1.0,1804.0,6.0
743,55.0,1567.0,2.0
744,10.0,2416.0,10.0
745,1.0,2501.0,5.0
746,28.0,2700.0,1.0
747,46.0,1284.0,14.0
748,82.0,2700.0,9.0
749,73.0,1928.0,13.0
750,82.0,1772.0,10.0
751,10.0,1928.0,10.0
752,82.0,2074.0,7.0
753,73.0,1237.0,10.0
754,1.0,2501.0,7.0
755,1.0,1161.0,8.0
756,28.0,2074.0,11.0
757,10.0,2416.0,13.0
758,82.0,2118.0,14.0
759,73.0,2488.0,1.0
760,82.0,2913.0,8.0
761,55.0,2416.0,13.0
762,28.0,1734.0,3.0
763,55.0,1161.0,5.0
764,73.0,2105.0,8.0
765,46.0,2118.0,11.0
766,19.0,2163.0,4.0
767,82.0,1731.0,6.0
768,73.0,2476.0,12.0
769,19.0,2163.0,14.0
770,10.0,2913.0,12.0
771,46.0,2135.0,4.0
772,82.0,2936.0,12.0
773,37.0,2501.0,2.0
774,37.0,1797.0,6.0
775,73.0,2163.0,5.0
776,1.0,1804.0,2.0
777,19.0,2501.0,13.0
778,46.0,2476.0,2.0
779,1.0,2135.0,10.0
780,37.0,1567.0,9.0
781,73.0,2135.0,4.0
782,55.0,2913.0,6.0
783,82.0,2231.0,5.0
784,10.0,1731.0,14.0
785,10.0,2043.0,13.0
786,19.0,2028.0,4.0
787,82.0,1772.0,3.0
788,82.0,1772.0,13.0
789,55.0,1467.0,8.0
790,37.0,2098.0,5.0
791,46.0,2913.0,14.0
792,82.0,1284.0,11.0
793,82.0,2913.0,12.0
794,82.0,2163.0,6.0
795,19.0,2476.0,14.0
796,46.0,2471.0,1.0
797,55.0,2680.0,7.0
798,10.0,2098.0,1.0
799,1.0,1928.0,12.0
800,19.0,1772.0,10.0
801,10.0,2043.0,2.0
802,1.0,2118.0,1.0
803,1.0,1928.0,9.0
804,10.0,2043.0,9.0
805,37.0,1734.0,6.0
806,1.0,2074.0,14.0
807,28.0,2416.0,9.0
808,28.0,2631.0,12.0
809,10.0,2501.0,12.0
810,73.0,1567.0,1.0
811,37.0,2501.0,13.0
812,55.0,1731.0,3.0
813,28.0,1772.0,12.0
814,73.0,2118.0,11.0
815,10.0,2796.0,9.0
816,37.0,2416.0,12.0
817,46.0,1161.0,2.0
818,73.0,2135.0,10.0
819,28.0,1284.0,5.0
820,19.0,1459.0,2.0
821,64.0,2631.0,5.0
822,28.0,1804.0,12.0
823,28.0,2631.0,1.0
824,73.0,2488.0,4.0
825,37.0,1467.0,3.0
826,10.0,2043.0,6.0
827,19.0,1772.0,6.0
828,55.0,2135.0,10.0
829,10.0,2416.0,4.0
830,55.0,2476.0,12.0
831,82.0,2488.0,9.0
832,46.0,2796.0,2.0
833,19.0,1797.0,10.0
834,73.0,1567.0,14.0
835,1.0,1783.0,6.0
836,73.0,2680.0,13.0
837,55.0,2476.0,3.0
838,37.0,2796.0,4.0
839,46.0,2098.0,14.0
840,46.0,1467.0,7.0
841,55.0,2105.0,6.0
842,10.0,2631.0,6.0
843,82.0,1335.0,11.0
844,73.0,2043.0,8.0
845,46.0,1161.0,3.0
846,10.0,1783.0,2.0
847,28.0,1335.0,3.0
848,55.0,1928.0,13.0
849,1.0,2043.0,13.0
850,10.0,2476.0,9.0
851,46.0,1772.0,7.0
852,19.0,2936.0,7.0
853,73.0,2488.0,5.0
854,64.0,2074.0,13.0
855,1.0,1335.0,8.0
856,64.0,2105.0,7.0
857,19.0,2074.0,3.0
858,73.0,2105.0,12.0
859,1.0,2416.0,6.0
860,10.0,2231.0,6.0
861,19.0,2488.0,7.0
862,82.0,1772.0,5.0
863,55.0,1459.0,13.0
864,37.0,1459.0,14.0
865,73.0,2501.0,4.0
866,82.0,2680.0,11.0
867,37.0,2501.0,10.0
868,10.0,2700.0,10.0
869,55.0,1467.0,2.0
870,73.0,2471.0,7.0
871,64.0,1804.0,4.0
872,82.0,1567.0,10.0
873,1.0,1335.0,2.0
874,82.0,2163.0,10.0
875,1.0,1237.0,2.0
876,55.0,2043.0,2.0
877,55.0,1335.0,1.0
878,37.0,1783.0,9.0
879,46.0,2913.0,9.0
880,82.0,2913.0,10.0
881,46.0,1928.0,13.0
882,82.0,2043.0,7.0
883,73.0,1459.0,10.0
884,73.0,2416.0,10.0
885,10.0,1772.0,10.0
886,37.0,1567.0,8.0
887,28.0,1335.0,7.0
888,82.0,2680.0,13.0
889,37.0,1804.0,8.0
890,55.0,2028.0,11.0
891,64.0,2135.0,8.0
892,46.0,2118.0,9.0
893,19.0,1797.0,8.0
894,64.0,1161.0,7.0
895,46.0,2163.0,5.0
896,64.0,2471.0,5.0
897,82.0,2163.0,12.0
898,1.0,1772.0,12.0
899,28.0,1335.0,2.0
900,82.0,2163.0,1.0
901,10.0,1161.0,5.0
902,1.0,1567.0,12.0
903,64.0,1459.0,1.0
904,10.0,1335.0,13.0
905,73.0,2700.0,5.0
906,64.0,2700.0,8.0
907,28.0,1797.0,11.0
908,1.0,2074.0,2.0
909,64.0,2700.0,5.0
910,37.0,1928.0,7.0
911,1.0,2680.0,12.0
912,19.0,2501.0,4.0
913,73.0,2631.0,6.0
914,37.0,1284.0,6.0
915,10.0,2416.0,14.0
916,64.0,1804.0,13.0
917,55.0,1783.0,8.0
918,64.0,2028.0,13.0
919,28.0,2028.0,2.0
920,28.0,2098.0,3.0
921,64.0,2416.0,3.0
922,37.0,1467.0,8.0
923,1.0,2501.0,9.0
924,46.0,1772.0,11.0
925,73.0,1335.0,10.0
926,73.0,2098.0,1.0
927,1.0,2105.0,11.0
928,37.0,2231.0,3.0
929,64.0,2631.0,1.0
930,19.0,1237.0,14.0
