,target
422,559321.3212148325
423,573583.905357765
424,606216.6524994893
425,612028.807679752
426,602648.9818052801
427,783757.9618052801
428,691056.4440008645
429,602621.9818052801
430,694363.6037311212
431,674889.6369504638
432,752200.922182472
433,638589.7037311213
434,673764.3166874629
435,573942.6076797519
436,695056.6037311212
437,693931.1853577651
438,571347.7725970788
439,620397.3091183892
440,671957.8904500827
441,698553.1579983787
442,799225.4908572766
443,745201.0108572766
444,508798.7491183892
445,490516.2076797519
446,519788.8918735134
447,562785.8518136714
448,607207.7253577651
449,604972.0740008645
450,451518.1724994892
451,459508.4587274453
452,518372.66536727257
453,784617.8653672726
454,746565.6558336186
455,767278.3933498312
456,608935.7253577651
457,646329.0023521412
458,784958.1969504637
459,651072.1314326305
460,716926.0053577651
461,608231.972182472
462,799705.2239110986
463,804681.3369504637
464,665522.7825970788
465,452759.44535776513
466,448561.7625970788
467,578226.1314326305
468,653420.8291183892
469,793678.5704500827
470,459859.4587274453
471,646896.0023521412
472,573050.8037311212
473,497701.9323281041
474,499791.98473402974
475,635296.2902069426
476,492184.7040008646
477,723696.4333498311
478,504405.9349412772
479,600306.9612148325
480,573239.0324994893
481,770923.712182472
482,694723.1853577651
483,671139.1323281042
484,492211.7040008646
485,747381.9133498312
486,697814.9533498312
487,782752.8012148325
488,636159.5779983787
489,693328.6037311212
490,494350.7924994892
491,723707.1858336186
492,670232.4733498312
493,718704.5012369471
494,733387.30180528
495,732929.5212148326
496,502004.2987274453
497,724551.4333498311
498,729239.1321824719
499,725234.1787274452
500,637779.5779983787
501,609324.2523281042
502,702902.342182472
503,647552.6587274452
504,458683.0523521411
505,549391.2691183892
506,545268.0924644242
507,734271.0240008646
508,804355.9318735134
509,674340.3166874629
510,725377.172352141
511,544575.0924644242
512,639902.4969504637
513,608447.972182472
514,669178.6739110985
515,578601.0247340297
516,739294.1612369472
517,570690.182182472
518,772606.712182472
519,556760.8108572764
520,737219.7524994892
521,478869.1318136714
522,452615.44535776513
523,641189.4969504637
524,573869.8037311212
525,714215.1225970787
526,692654.4525970788
527,714965.707966973
528,792985.5704500827
529,694241.5124994892
530,672566.5727244101
531,613316.5447340297
532,674972.552182472
533,505888.8899192636
534,614830.8187274452
535,843637.9708572765
536,524974.2079983788
537,747014.7379983788
538,702610.3387274452
539,555832.2302069425
540,617598.9324644243
541,610948.807679752
542,675912.2653672725
543,692716.0849412772
544,677680.207679752
545,570051.7725970788
546,770305.1749412772
547,778420.0749294312
548,615119.6123521412
549,617957.1599192637
550,479836.4179983788
551,694876.1853577651
552,610182.8612369471
553,512809.4339110986
554,504576.9349412772
555,607881.2537311212
556,454617.4923281041
557,449506.7625970788
558,674655.64180528
559,513272.1549294312
560,667950.3679983787
561,525738.5533498311
562,705312.9718052801
563,778255.4402069426
564,782380.9618052801
565,563150.8153672726
566,602892.0118735133
567,578946.1314326305
568,502436.2987274453
569,665170.9318136714
570,666367.9318136714
571,763101.3718136714
572,538088.5412369472
573,756458.6039110986
574,636699.8640008646
575,572024.0324994893
576,666377.7825970788
577,754789.5849294312
578,674547.1318735133
579,781717.8012148325
580,574698.6076797519
581,799165.2239110986
582,641433.2566874628
583,603826.5133498312
584,572861.8037311212
585,706789.0604500828
586,675564.6369504638
587,557840.8108572764
588,641167.5212369472
589,752154.4966874628
590,702285.7823521411
591,607583.972182472
592,779683.9139110985
593,537872.5412369472
594,693377.5124994892
595,538572.3723281042
596,524132.3658336187
597,735129.5653672726
598,597001.1349294311
599,570345.1366874628
600,682313.3491183892
601,716000.707966973
602,721586.3981415535
603,738686.2304500827
604,778930.4402069426
605,640753.5718735134
606,736667.8579669729
607,702162.3766874628
608,706441.6918735134
609,493428.1314326305
610,747328.5324644243
611,748205.6099192636
612,640393.5718735134
613,578514.1314326305
614,668092.1537311212
615,737507.7524994892
616,729633.2939110985
617,562163.65180528
618,693506.5579669729
619,638889.6012148325
620,705410.4299192637
621,798952.4702069425
622,533092.1025970788
623,518708.8918735134
624,667808.4079669729
625,643217.7621824719
626,633627.6249294311
627,453304.2212369471
628,608395.7253577651
629,520148.8918735134
630,569986.2840008646
631,451900.4537311212
632,493270.43259707873
633,597346.2602069426
634,453078.4923281041
635,504049.1724644242
636,726902.5199192637
637,599367.4781415536
638,735134.9169504638
639,669100.1537311212
640,497527.8812369472
641,705059.4299192637
642,724848.4333498311
643,776665.0749294312
644,498241.9323281041
645,751170.9091183891
646,823834.7308572765
647,456850.4647340298
648,616260.1314326305
649,642729.2566874628
650,700940.6049294312
651,565984.0333498312
652,642130.6923281042
653,492766.43259707873
654,705551.8812148325
655,739489.4523281042
656,562758.8518136714
657,639831.31180528
658,640344.7037311213
659,746294.7379983788
660,503878.1724644242
661,678972.5308572765
662,706831.8691183892
663,692500.0849412772
664,669017.4733498312
665,456183.35272441007
666,675348.6369504638
667,643924.7027244101
668,802139.29180528
669,706573.0604500828
670,798414.5649294312
671,729656.0949294312
672,607160.1079669729
673,573078.6076797519
674,715295.1225970787
675,642569.7621824719
676,517336.6812148326
677,735696.5653672726
678,729455.1321824719
679,456562.4647340298
680,683085.1314326305
681,634405.2902069426
682,601071.9612148325
683,737534.2304500827
684,679607.3399192637
685,702925.3387274452
686,581825.0124644242
687,706559.407679752
688,496022.26535776514
689,673918.5847340297
690,734586.0240008646
691,545839.9799192636
692,536339.3537311212
693,759695.1612148324
694,761826.7153672726
695,608647.7253577651
696,745345.562352141
697,708028.8691183892
698,642547.7027244101
699,797847.5649294312
700,556264.2302069425
701,450321.1724994892
702,538761.3723281042
703,695189.6681415535
704,747358.1449412772
705,518474.3218052801
706,634864.2902069426
707,804924.3369504637
708,464759.22911838925
709,492742.6579669729
710,572137.957966973
711,695900.8412369471
712,714063.2340008646
713,642772.7027244101
714,767683.3933498312
715,576776.9627244101
716,722447.1858336186
717,653069.8291183892
718,643370.0647340297
719,736214.9169504638
720,776916.007679752
721,606800.1079669729
722,633195.6249294311
723,692726.4525970788
724,665395.9318136714
725,640678.545357765
726,702506.342182472
727,676341.3923521412
728,739726.1612369472
729,669460.3653577651
730,642418.6923281042
731,494281.6579669729
732,573736.905357765
733,601107.0508572765
734,680693.3491183892
735,723458.9479983787
736,671490.1323281042
737,603837.0118735133
738,713958.7708572765
739,771391.712182472
740,692365.0849412772
741,612821.5447340297
742,728247.4366874628
743,694948.6037311212
744,783230.1969504637
745,636465.1125970788
746,727145.5199192637
747,693728.2918136714
748,608663.972182472
749,647301.0023521412
750,844204.9708572765
751,644059.7027244101
752,621693.3091183892
753,707452.8691183892
754,560833.3212148325
755,668486.2458336187
756,450001.7625970788
757,647037.007679752
758,649736.2499192636
759,729165.2939110985
760,530247.0766874629
761,519029.07695046376
762,522321.4918136714
763,668837.2458336187
764,734251.30180528
765,746065.0108572766
766,572654.8037311212
767,723662.1858336186
768,637266.7758336186
769,607251.6524994893
770,714440.1225970787
771,708271.8691183892
772,745094.1281415536
773,744274.562352141
774,669678.3679983787
775,842692.9708572765
776,611569.807679752
777,617382.9324644243
778,603934.5133498312
779,606891.6524994893
780,666682.9318136714
781,693650.5579669729
782,502879.4423521411
783,766436.1258336187
784,716405.707966973
785,694385.5124994892
786,478840.2881415536
787,682016.3491183892
788,802723.4412148325
789,477429.1318136714
790,502123.4423521411
791,736347.2518735133
792,602996.9653672726
793,505123.8899192636
794,736370.8579669729
795,448720.9140008646
796,647903.6587274452
797,461192.2524644242
798,559546.3212148325
799,734559.0240008646
800,737004.8253577651
801,681368.3491183892
802,461300.2524644242
803,450655.5079669729
804,596023.2602069426
805,671192.8904500827
806,698669.9533498312
807,702105.7823521411
808,769441.1749412772
809,674160.64180528
810,691439.4525970788
811,572434.957966973
812,556495.6449294311
813,759693.1314326304
814,718272.5012369471
815,772119.5566874628
816,741131.1827244101
817,667973.2458336187
818,451266.1724994892
819,634246.5718136714
820,694516.6037311212
821,746193.9133498312
822,712740.2340008646
823,653636.8291183892
824,638133.6012148325
825,493351.43259707873
826,670169.4733498312
827,789472.2049412772
828,496103.26535776514
829,555919.6449294311
830,574113.6076797519
831,646832.6587274452
832,756181.4102069426
833,701583.9839110986
834,539655.5047340296
835,717647.0537311212
836,785025.3718735133
837,562854.7481415536
838,575445.2012369471
839,625339.0249412772
840,815261.7404500827
841,494521.7924994892
842,635754.2081415536
843,804564.3369504637
844,465407.22911838925
845,512201.1549294312
846,538374.1314326305
847,756208.4102069426
848,674979.1318735133
849,694025.5124994892
850,611893.807679752
851,522186.4918136714
852,520055.66536727257
853,562827.2169504637
854,597562.2602069426
855,637311.7758336186
856,601095.4781415536
857,771166.712182472
858,572420.0324994893
859,482577.0733498312
860,494220.1314326305
861,669371.1812369471
862,540087.5047340296
863,704660.8812148325
864,639426.31180528
865,563142.7481415536
866,541783.832352141
867,700693.3502069425
868,610359.2523281042
869,714273.7708572765
870,563259.2169504637
871,696771.7158336187
872,581120.222352141
873,535934.3537311212
874,675492.1318735133
875,640186.5718735134
876,503381.2987274453
877,635835.8640008646
878,503482.1724644242
879,729255.4366874628
880,691488.4440008645
881,604657.0740008645
882,512768.1549294312
883,767154.4004500827
884,761178.7153672726
885,779710.9139110985
886,546298.9799192636
887,693571.6037311212
888,576155.9627244101
889,727577.5199192637
890,803614.4412148325
891,772020.5566874628
892,677518.7724644243
893,633541.2902069426
894,767971.3933498312
895,771768.5566874628
896,762876.3718136714
897,537681.1314326305
898,734927.9169504638
899,605148.4425970789
900,742824.0118136714
901,748772.6099192636
902,511733.1549294312
903,702713.342182472
904,689733.4440008645
905,704049.6924644242
906,667088.4079669729
907,738389.2304500827
908,609885.8612369471
909,573095.0324994893
910,734970.2518735133
911,451076.44535776513
912,448072.9140008646
913,610317.8612369471
914,691852.0849412772
915,518186.3218052801
916,705493.0604500828
917,735591.2518735133
918,720199.1149412772
919,720534.0123281042
920,797334.5649294312
921,485535.602182472
922,816206.7404500827
923,665250.6540008646
924,637410.1125970788
925,669147.1149294311
926,505269.9349412772
927,635439.8640008646
928,730603.3891183891
929,728963.0949294312
930,730200.2939110985
931,673487.552182472
932,744021.0118136714
933,744987.0187274452
934,803867.29180528
935,536333.5412369472
936,454806.4923281041
937,783172.9618052801
938,724263.4333498311
939,596698.2602069426
940,793705.5704500827
941,563124.2169504637
942,803759.29180528
943,703314.3766874628
944,607539.6524994893
945,649304.2499192636
946,697078.5723281042
947,770089.1749412772
948,626554.0249412772
949,600819.9612148325
950,693695.5579669729
951,557598.7439110986
952,597643.2602069426
953,575634.2012369471
954,560948.65180528
955,481104.8958336187
956,694457.5124994892
957,638518.9933498312
958,607450.7253577651
959,675417.2653672725
960,448657.9140008646
961,672161.5727244101
962,730704.2939110985
963,573374.8037311212
964,739546.1612369472
965,451940.44535776513
966,603961.5133498312
967,459572.2524644242
968,563338.4518735134
969,760903.6318052801
970,724511.9479983787
971,603081.0118735133
972,697536.7158336187
973,668956.1537311212
974,777391.4402069426
975,612956.5447340297
976,579894.9787274452
977,608528.972182472
978,730219.3802069426
979,601817.3058336186
980,669583.3202069426
981,771903.5566874628
982,773914.2508572766
983,724558.172352141
984,560518.3212148325
985,699860.6049294312
986,734422.30180528
987,641842.5212369472
988,778105.0749294312
989,574833.6076797519
990,477861.1318136714
991,536294.3537311212
992,668452.1537311212
993,634491.6249294311
994,756638.6039110986
995,672449.5727244101
996,579392.222352141
997,453763.2212369471
998,673225.5847340297
999,616518.9324644243
1000,727572.4366874628
1001,497953.9323281041
1002,494508.1314326305
1003,669138.3679983787
1004,565269.9979983787
1005,626410.0249412772
1006,720866.3981415535
1007,746484.6558336186
1008,804969.3369504637
1009,746628.6558336186
1010,652556.8291183892
1011,706176.9718052801
1012,602395.3569504637
1013,700863.9839110986
1014,843124.9708572765
1015,461012.2524644242
1016,564693.9979983787
1017,495025.7924994892
1018,646607.6587274452
1019,545295.0924644242
1020,504769.1724644242
1021,692212.0849412772
1022,449182.7625970788
1023,668193.3679983787
1024,701449.3502069425
1025,458563.4587274453
1026,804679.9318735134
1027,555523.6449294311
1028,563330.8153672726
1029,728607.4366874628
1030,557029.2302069425
1031,764073.3718136714
1032,525046.2079983788
1033,450955.4537311212
1034,671679.1323281042
1035,756829.807679752
1036,635034.2081415536
1037,593988.5504500828
1038,556833.7439110986
1039,751209.4966874628
1040,800548.4908572766
1041,670760.8904500827
1042,533263.1025970788
1043,702038.342182472
1044,633886.5718136714
1045,706978.0604500828
1046,645660.007679752
1047,562494.7481415536
1048,668245.3653577651
1049,517394.3218052801
1050,705925.0604500828
1051,765100.8581415537
1052,738131.5037311212
1053,730036.3891183891
1054,759225.1314326304
1055,667253.9381415535
1056,767492.5279983788
1057,739834.1612369472
1058,542529.1387274452
1059,669273.3679983787
1060,491779.7040008646
1061,693566.5124994892
1062,836790.9104500827
1063,513416.1549294312
1064,508510.7491183892
1065,538221.3723281042
1066,667736.4079669729
1067,582878.0124644242
1068,760971.7153672726
1069,519353.07695046376
1070,518015.3218052801
1071,636006.8640008646
1072,519911.66536727257
1073,706392.9718052801
1074,674904.2653672725
1075,581622.9787274452
1076,481497.0733498312
1077,665297.7825970788
1078,693170.5124994892
1079,669633.3679983787
1080,451319.44535776513
1081,702729.3766874628
1082,729922.3802069426
1083,638906.2579669729
1084,707711.407679752
1085,548520.9649412772
1086,563438.8153672726
1087,650721.1314326305
1088,561819.7481415536
1089,737930.2304500827
1090,674511.64180528
1091,583775.0699192637
1092,518339.3218052801
1093,668333.2458336187
1094,737949.8253577651
1095,712986.7708572765
1096,605796.4425970789
1097,695416.1853577651
1098,573321.6076797519
1099,771615.5566874628
1100,759848.1612148324
1101,535649.0853577651
1102,697131.7158336187
1103,593925.5504500828
1104,723302.1858336186
1105,681557.3491183892
1106,797977.2239110986
1107,694592.2918136714
1108,719757.5012369471
1109,720080.6518136715
1110,667824.8924994892
1111,718006.0053577651
1112,751359.9091183891
1113,600953.3058336186
1114,699829.3502069425
1115,694196.2918136714
1116,638952.6012148325
1117,465767.22911838925
1118,777340.0749294312
1119,538068.3723281042
1120,699101.9533498312
1121,601421.3058336186
1122,546703.9799192636
1123,764092.8581415537
1124,621882.3091183892
1125,560806.3212148325
1126,672746.5727244101
1127,672272.8904500827
1128,498196.9323281041
1129,480511.4179983788
1130,690768.4440008645
1131,478444.2881415536
1132,521889.4918136714
1133,615451.8187274452
1134,635432.3639110986
1135,668281.1537311212
1136,804763.0153672725
1137,461473.7999192636
1138,530664.3921824719
1139,746683.1449412772
1140,666521.4079669729
1141,609567.2523281042
1142,615839.6123521412
1143,538788.3723281042
1144,569835.182182472
1145,732918.6076797519
1146,479299.2881415536
1147,634635.6249294311
1148,612244.807679752
1149,666728.4079669729
1150,498927.98473402974
1151,524326.2079983788
1152,756206.6039110986
1153,764253.3718136714
1154,737726.5037311212
1155,643744.7027244101
1156,750306.9091183891
1157,756557.6039110986
1158,760255.6318052801
1159,756721.807679752
1160,769954.1749412772
1161,724466.9479983787
1162,722703.6247340296
1163,641117.4969504637
1164,699428.6049294312
1165,660805.0549412773
1166,518690.3218052801
1167,562042.4518735134
1168,681881.3491183892
1169,796659.5649294312
1170,712761.7708572765
1171,638429.2724994892
1172,667527.1149294311
1173,705903.4153672726
1174,702493.3387274452
1175,789832.2049412772
1176,676483.7724644243
1177,531994.4940008646
1178,672855.2412148325
1179,713928.2340008646
1180,691835.4525970788
1181,460048.4587274453
1182,449353.7625970788
1183,727815.4366874628
1184,508150.7491183892
1185,502582.4423521411
1186,598032.0539110985
1187,784752.8653672726
1188,803822.29180528
1189,572186.8037311212
1190,783040.8012148325
1191,640273.545357765
1192,602573.3058336186
1193,571489.957966973
1194,669413.4733498312
1195,678076.207679752
1196,576256.8123281042
1197,697330.5723281042
1198,803398.4412148325
1199,669007.3202069426
1200,735849.5653672726
1201,781086.1314326304
1202,721433.3981415535
1203,740704.4523281042
1204,615684.1314326305
1205,494674.7924994892
1206,740960.1827244101
1207,747446.7379983788
1208,535475.3537311212
1209,573725.8037311212
1210,486873.01668746286
1211,739645.1612369472
1212,584315.0699192637
1213,669898.6739110985
1214,637898.2579669729
1215,711831.1314326305
1216,745561.562352141
1217,715655.1225970787
1218,533911.8079669729
1219,674025.6369504638
1220,640298.4969504637
1221,639985.545357765
1222,600307.2118136714
1223,696575.8412369471
1224,613361.5447340297
1225,587049.7891183892
1226,774679.2508572766
1227,705194.4299192637
1228,798342.5649294312
1229,615622.8187274452
1230,517363.6812148326
1231,532687.4940008646
1232,762319.8118735134
1233,785184.8653672726
1234,564297.9979983787
1235,603180.7879983787
1236,555055.6449294311
1237,582689.0124644242
1238,745176.0187274452
1239,451401.1724994892
1240,641658.2566874628
1241,608562.8612369471
1242,679463.3399192637
1243,720398.3981415535
1244,778714.4402069426
1245,720265.3127244101
1246,452683.2212369471
1247,606807.1966874629
1248,636897.1125970788
1249,705718.0604500828
1250,604473.4425970789
1251,669178.3202069426
1252,496981.9323281041
1253,540447.5047340296
1254,728384.1321824719
1255,784418.1969504637
1256,766628.5279983788
1257,597456.0539110985
1258,493729.7924994892
1259,681573.1314326305
1260,744049.562352141
1261,638023.9933498312
1262,774778.2508572766
1263,802607.29180528
1264,746437.5324644243
1265,644045.0647340297
1266,492919.43259707873
1267,666578.9381415535
1268,625546.0249412772
1269,731296.3891183891
1270,694982.6681415535
1271,565849.0333498312
1272,538716.3723281042
1273,691214.4525970788
1274,683013.1314326305
1275,799141.4702069425
1276,571095.182182472
1277,574303.905357765
1278,494983.9037311211
1279,480033.8958336187
1280,707701.6918735134
1281,586185.7891183892
1282,532696.1025970788
1283,640119.31180528
1284,747574.1449412772
1285,640582.5718735134
1286,535167.4124994893
1287,733855.30180528
1288,486945.01668746286
1289,587130.7891183892
1290,593844.5504500828
1291,723251.9479983787
1292,746062.1449412772
1293,671381.8904500827
1294,756053.6039110986
1295,634624.7204500827
1296,674927.552182472
1297,701934.9839110986
1298,600019.2118136714
1299,637338.7758336186
1300,763821.3718136714
1301,636294.8640008646
1302,717188.0537311212
1303,596266.2602069426
1304,563465.8153672726
1305,707428.7769504638
1306,715433.707966973
1307,692210.5579669729
1308,751974.4966874628
1309,550364.3804500827
1310,723971.9479983787
1311,736403.5037311212
1312,494951.26535776514
1313,803491.9318735134
1314,565557.9979983787
1315,678459.5308572765
1316,708343.8691183892
1317,674412.64180528
1318,682421.3491183892
1319,678895.207679752
1320,479808.8958336187
1321,638592.6012148325
1322,755776.807679752
1323,781960.8012148325
1324,745932.0187274452
1325,759220.6318052801
1326,679652.3399192637
1327,725738.1787274452
1328,702358.3387274452
1329,453753.4923281041
1330,513103.20020694257
1331,610944.2523281042
1332,647400.0023521412
1333,761538.7153672726
1334,681798.1314326305
1335,752632.922182472
1336,642031.5212369472
1337,563187.2169504637
1338,751386.9091183891
1339,714279.2340008646
1340,670330.6739110985
1341,562944.2169504637
1342,668611.3202069426
1343,490111.2076797519
1344,509158.7491183892
1345,701638.3387274452
1346,606012.4425970789
1347,751071.9091183891
1348,798448.4702069425
1349,494182.6579669729
1350,696764.8412369471
1351,702672.6924644242
1352,678832.207679752
1353,615262.8187274452
1354,675756.3923521412
1355,639057.7037311213
1356,697500.4427244101
1357,698067.4427244101
1358,610647.2523281042
1359,670815.1323281042
1360,570807.182182472
1361,725639.1787274452
1362,816458.7404500827
1363,804979.0153672725
1364,563406.8358336187
1365,447712.9140008646
1366,667334.9381415535
1367,729634.3802069426
1368,610002.8612369471
1369,620154.3091183892
1370,653609.8291183892
1371,569886.1366874628
1372,607710.2537311212
